poi_id,region_id
8263887,1
33334970,1
10000822,4
32983757,3
33350503,2
6864271,1
7333808,1
33272100,1
33357814,1
16657089,1
25551844,1
12719595,2
32706121,4
17739279,1
8556994,3
34462576,2
32983638,1
23300698,1
25574736,2
25303789,1
11918966,1
2154294,1
24162332,2
20910619,2
6721127,1
11746398,3
33972276,2
7109031,1
27939068,1
10525874,1
12231655,1
27747708,2
2334935,2
21493307,2
19476887,1
27296727,1
3749935,1
15592702,1
8602875,2
17543751,2
967468,2
7141990,1
6994939,1
32843138,1
9467065,2
14776389,2
33222223,1
1546696,1
26322637,2
6961416,2
8775058,1
10068595,3
17379155,1
8071230,10
4170589,3
28120938,2
455410,1
17604603,1
28285527,1
8517570,1
27130109,1
6601902,1
19259802,1
12295934,1
4881460,1
8599407,2
8602484,1
27686907,1
7273452,2
34002993,1
20171721,1
7596221,1
7057020,1
15212886,2
27478200,1
1371527,1
19408793,1
3567267,1
11741717,1
4771094,1
14116019,2
28559328,2
20295587,2
14054034,1
8317497,2
28108702,2
10926187,1
12365770,2
8610811,1
12374411,3
25073674,2
13934245,1
6351606,1
3763209,2
4411306,1
10092053,1
2044621,1
16811556,2
12969306,1
30703267,1
27173896,2
12432519,1
2414201,3
27128455,2
12698370,1
14134897,1
7700073,1
4097768,1
33338784,1
2559479,2
25065842,1
5957860,1
4108043,1
26720262,1
1170827,1
27707365,2
26875853,1
26145540,3
25354953,1
23736709,1
11872390,1
11899009,2
6982572,2
4177826,3
28454178,1
26791887,2
8869748,1
4552856,1
25973054,1
26267736,1
12600679,1
5921457,2
13984791,2
10455052,1
24001941,1
11690404,3
10117391,1
25030079,2
9754920,1
3432676,1
11710229,1
12838076,2
1930367,1
27525288,2
33320290,1
7241907,2
17118070,2
16656422,1
28010412,2
18940966,1
8432743,1
3394479,1
25229877,1
2726268,2
9563623,1
3397942,1
3815598,1
25006681,1
6385014,2
32786147,2
6956299,1
33333014,1
12584392,1
7310219,1
7205645,2
2417715,1
26773215,2
1746272,1
21142314,1
18453788,1
13123395,7
24051572,2
28466845,2
17596766,1
33948567,1
29009530,1
20300693,1
